"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Vanguard FTSE Emerging Markets","VGE.AX","ASX","74.93","74.90","74.97","--","--","76.48","75.63","76.48","74.70","-0.70","-0.93%","9,411","--","22:20:00","-","","16,764","-","-","-","0.36","1.85%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","-0.83%","-1.72%","-5.16%","2.61%","22.97%","8.57%"
"Vanguard FTSE Emerging Markets UCITS ETF USD Accumulation","VFEA.L","LON","66.67","-","-","--","--","66.70","66.35","66.75","66.42","+0.20","+0.30%","159","--","10:36:54","-","","2,657","-","-","-","-","-","Buy","Buy","Sell","Neutral","Neutral","Buy","Buy","Strong Buy","0.30%","0.02%","-6.47%","4.24%","68.58%","34.74%"
"Vanguard FTSE All-World UCITS","VWRL.L","LON","80.14","-","-","--","--","80.11","80.30","80.20","79.70","-0.15","-0.19%","63,809","--","12:35:02","-","","64,661","-","-","-","1.06","1.32%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.19%","0.44%","-0.10%","3.11%","40.68%","30.58%"
"Global X FTSE Southeast Asia ETF","ASEA.K","NYSE","14.86","-","-","14.84","-0.15%","14.99","14.97","14.99","14.86","-0.11","-0.73%","12,667","--","15:59:59","-","","37,542","-","-","-","0.20","1.31%","Neutral","Neutral","Neutral","Neutral","Neutral","Buy","Strong Buy","Buy","-0.73%","-0.48%","2.77%","2.70%","51.79%","-17.03%"
"FTSE Global 100",".FTMN1XR","GLOBAL","2,521.90","-","-","--","--","2,522.57","2,524.70","2,522.57","2,521.70","-2.80","-0.11%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","-0.11%","-0.53%","-1.78%","1.50%","67.61%","49.73%"
"FTSE4Good Global 100",".FT4GDGLOB100","GLOBAL","9,540.15","-","-","--","--","9,542.96","9,548.79","9,542.96","9,539.38","-8.64","-0.09%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy","-0.10%","-0.33%","-0.93%","2.58%","61.36%","43.60%"
"FTSE Global All Cap TR",".TFTGEISACU","GLOBAL","997.52","-","-","--","--","833.23","998.56","997.52","997.52","0.00","0.00%","-","--","31/12","-","","-","-","-","-","-","-","","","","","","","","","0.00%","19.72%","19.72%","19.72%","19.72%","16.77%"
"FTSE Global Core Infrastructure",".FTFGCII","GLOBAL","2,734.59","-","-","--","--","2,734.59","2,748.54","2,734.59","2,734.59","-13.95","-0.51%","-","--","17/03","-","","-","-","-","-","-","-","","","","","","Strong Buy","Strong Buy","Neutral","-0.51%","0.49%","3.09%","0.94%","15.89%","22.88%"
"FTSE Global Small Cap ex US",".FTGSCXUS","GLOBAL","838.09","-","-","--","--","838.75","841.26","839.05","837.53","-3.17","-0.38%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","-0.43%","0.67%","0.58%","5.92%","84.87%","9.53%"
"FTSE CNBC Global 300 Technology",".FTFCNBCG9500","GLOBAL","39,428.88","-","-","--","--","39,455.84","39,537.69","39,455.84","39,415.67","-108.81","-0.28%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Buy","Strong Buy","-0.30%","-1.01%","-5.78%","1.92%","84.02%","94.03%"
"FTSE CNBC Global 300 Financial Services",".FTFCNBCG8700","GLOBAL","11,134.33","-","-","--","--","11,137.56","11,144.23","11,139.20","11,131.02","-9.90","-0.09%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy","-0.11%","-1.52%","4.77%","6.40%","73.95%","52.98%"
"FTSE EPRA/NAREIT Global ex US",".FTENHE","GLOBAL","1,832.53","-","-","--","--","1,832.60","1,834.20","1,835.71","1,830.77","-1.67","-0.09%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","-0.14%","1.17%","4.31%","5.43%","27.45%","-2.39%"
"FTSE CNBC Global 300 Automobiles & Parts",".FTFCNBCG3300","GLOBAL","12,250.92","-","-","--","--","12,266.13","12,257.32","12,266.89","12,246.89","-6.40","-0.05%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","-0.06%","0.18%","-4.43%","3.36%","187.13%","81.24%"
"FTSE CNBC Global 300 Industrial Goods & Services",".FTFCNBCG2700","GLOBAL","10,285.73","-","-","--","--","10,295.47","10,305.86","10,295.47","10,283.95","-20.13","-0.20%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","-0.20%","-0.36%","1.34%","5.59%","84.56%","25.65%"
"FTSE CNBC Global 300 Personal & Household Goods",".FTFCNBCG3700","GLOBAL","12,008.83","-","-","--","--","12,013.29","12,030.62","12,013.29","12,006.00","-21.79","-0.18%","-","--","22:29:00","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","-0.20%","1.19%","1.16%","0.59%","48.15%","25.97%"
