"","Gold Futures","GCJ1","ICE","03/20/2021","SELL","1000000.00000000","1,743.90","03/20/2021","1,743.90","0.00%","-$0.50"
"","Gold Futures","GCJ1","ICE","03/20/2021","SELL","1000000.00000000","1,743.90","03/20/2021","1,743.90","0.00%","-$0.50"
"","Gold Futures","GCJ1","ICE","03/20/2021","SELL","3000000000.00000000","1,743.90","03/20/2021","1,743.90","0.00%","-$10.00"
"","Gold Futures","GCJ1","ICE","03/20/2021","BUY","1000000.00000000","1,743.90","03/20/2021","1,743.90","-0.00%","-$0.50"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/20/2021","SELL","1.00000000","848,000,000","03/20/2021","848,096,000","-0.01%","-$0.07"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/20/2021","BUY","1.00000000","848,997,000","03/20/2021","848,900,000","-0.01%","-$0.07"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","1000000.00000000","58,262.8","03/20/2021","58,266.3","0.01%","$3,499,986.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/20/2021","BUY","1.00000000","849,500,000","03/20/2021","847,995,000","-0.18%","-$1.05"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,038.1","03/20/2021","58,268.5","-0.40%","-$2,304,000,011.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,229.0","03/20/2021","58,185.8","0.07%","$431,999,986.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","10000000.00000000","58,236.6","03/20/2021","58,230.3","-0.01%","-$63,000,014.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,392.4","03/20/2021","58,371.7","0.04%","$206,999,986.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","10000000.00000000","58,412.7","03/20/2021","58,396.2","-0.03%","-$165,000,000.50"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000.00000000","58,025.0","03/20/2021","58,409.7","-0.66%","-$384,700,011.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000.00000000","58,033.1","03/20/2021","58,386.2","-0.61%","-$353,100,011.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000.00000000","58,096.0","03/20/2021","58,386.2","-0.50%","-$290,200,011.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,355.0","03/20/2021","58,275.2","0.14%","$797,999,986.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,404.2","03/20/2021","58,394.2","0.02%","$99,999,986.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,380.2","03/20/2021","58,386.7","-0.01%","-$65,000,014.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,490.3","03/20/2021","58,389.9","0.17%","$1,003,999,986.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,504.2","03/20/2021","58,386.6","0.20%","$1,175,999,986.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","100000000.00000000","58,399.0","03/20/2021","58,541.9","-0.24%","-$14,290,000,114.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,545.8","03/20/2021","58,541.9","0.01%","$3,899,999,886.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000.00000000","58,749.6","03/20/2021","58,629.4","0.20%","$120,199,999.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","10000000.00000000","58,733.0","03/20/2021","58,642.8","0.15%","$901,999,999.49"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,659.0","03/20/2021","58,626.9","0.05%","$32,099,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,703.9","03/20/2021","58,644.9","0.10%","$58,999,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,729.2","03/20/2021","58,700.0","0.05%","$29,199,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,782.2","03/20/2021","58,705.1","0.13%","$77,099,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","1000000000.00000000","58,764.4","03/20/2021","58,701.8","-0.11%","-$62,600,000,144.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,665.9","03/20/2021","58,663.3","0.00%","$2,599,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,721.8","03/20/2021","58,640.7","0.14%","$81,099,999,856.01"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000.00000000","58,107.7","03/20/2021","58,583.1","-0.82%","-$475,400,011.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000.00000000","58,175.2","03/20/2021","58,551.1","-0.65%","-$375,900,011.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","1000000000.00000000","58,532.4","03/20/2021","58,552.2","0.03%","$19,799,999,886.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,559.1","03/20/2021","58,534.7","0.04%","$24,399,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,585.8","03/20/2021","58,536.5","0.08%","$49,299,999,856.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","5000.00000000","58,241.6","03/20/2021","58,589.8","-0.60%","-$1,741,001.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","5000.00000000","58,241.6","03/20/2021","58,582.8","-0.59%","-$1,706,001.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","5000.00000000","58,282.2","03/20/2021","58,583.7","-0.52%","-$1,507,501.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","100000000.00000000","58,377.2","03/20/2021","58,527.5","-0.26%","-$15,030,000,114.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1000000000.00000000","58,563.2","03/20/2021","58,527.5","0.06%","$35,699,999,886.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","20000.00000000","57,922.7","03/20/2021","58,446.4","-0.90%","-$10,474,001.40"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","20000.00000000","57,994.0","03/20/2021","58,446.4","-0.78%","-$9,048,001.40"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","20000.00000000","58,265.4","03/20/2021","58,446.4","-0.31%","-$3,620,001.40"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","1000000.00000000","58,434.6","03/20/2021","58,436.5","0.00%","$1,899,999.55"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","1000000.00000000","58,196.1","03/20/2021","58,157.7","-0.07%","-$38,400,011.00"
"","ETH/IDR","ETH/IDR","Luno","03/19/2021","SELL","1000000.00000000","26,500,000","03/19/2021","26,402,000","369.81%","$67,954.32"
"","XAU/USD","XAU/USD","FX","03/19/2021","SELL","1000000000.00000000","1,742.13","03/19/2021","1,736.56","7.99%","$5,569,999,999.50"
"","ETH/XAU","ETH/XAU","Synthetic","03/19/2021","SELL","1000000000.00000000","1.04238","03/19/2021","1.04120","2.83%","$2,049,329,598.96"
"","XAU/GBP","XAU/GBP","FX","03/19/2021","SELL","1000000000.00000000","1,251.98","03/19/2021","1,252.66","-5.43%","-$942,616,000.00"
"","BTC/XAU","BTC/XAU","Synthetic","03/19/2021","SELL","1000000000.00000000","33.7118","03/19/2021","33.6440","2.01%","$117,738,767,998.96"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","1000000000.00000000","58,710.1","03/19/2021","58,427.7","0.48%","$282,399,999,999.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","200000.00000000","58,991.0","03/19/2021","58,427.7","0.95%","$112,660,000.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","1000000000.00000000","59,129.4","03/19/2021","58,972.4","0.27%","$156,999,999,999.00"
"","ETH/XAU","ETH/XAU","Synthetic","03/19/2021","SELL","1000000000.00000000","1.04344","03/19/2021","1.04329","0.36%","$261,420,000.00"
"","FTSE4Good Global 100",".FT4GDGLOB100","GLOBAL","03/19/2021","SELL","100000.00000000","9,542.60","03/19/2021","9,542.60","0.00%","-$1.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","2000.00000000","57,701.5","03/19/2021","58,346.0","1.12%","$1,289,000.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","2000.00000000","57,701.5","03/19/2021","58,346.0","1.12%","$1,289,000.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","2000.00000000","57,708.3","03/19/2021","58,346.0","1.11%","$1,275,400.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","2000.00000000","57,705.5","03/19/2021","58,330.2","-1.08%","-$1,249,400.00"
"","Bitcoin SAR Index","BTC/SAR","Investing.com","03/19/2021","BUY","1000000000.00000000","216,598.5","03/19/2021","216,445.8","-0.07%","-$40,709,820,001.60"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","1000000.00000000","58,051.2","03/19/2021","58,148.6","-0.17%","-$97,400,002.00"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","20000.00000000","57,782.0","03/19/2021","58,052.8","-0.47%","-$5,416,000.00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","03/19/2021","SELL","10000.00000000","48,316.0","03/19/2021","48,740.2","-87.80%","-$5,056,040.30"
"","Gold Futures","GCJ1","ICE","03/19/2021","SELL","3000000.00000000","1,729.40","03/19/2021","1,731.50","-0.12%","-$6,300,000,000.00"
"","USD/RUB","USD/RUB","FX","03/19/2021","SELL","1000000000.00000000","74.3129","03/19/2021","74.3129","0.00%","-$0.50"
"","Bitcoin Euro Index","BTC/EUR","Investing.com","03/19/2021","SELL","10000.00000000","48,386.9","03/19/2021","48,360.5","0.05%","$314,502.40"
"","IDR/EUR","IDR/EUR","FX","03/19/2021","BUY","1000000000.00000000","0.00006","03/19/2021","0.00006","-0.08%","-$0.14"
"","USD/KRW","USD/KRW","FX","03/19/2021","SELL","1000000000.00000000","1,132.64","03/19/2021","1,131.86","6.89%","$689,519.50"
