"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"USD/EUR - US Dollar Euro","USD/EUR - US Dollar Euro","FX","0.8401","0.8399","0.8402","--","--","0.8391","0.8392","0.8422","0.8377","+0.0008","+0.10%","108,419","--","19/03","-","","38,636","-","-","-","-","-","Strong Buy","Strong Buy","Buy","Buy","Strong Buy","Strong Buy","Buy","Strong Sell","0.10%","0.43%","2.13%","2.63%","-10.15%","3.35%"
"Investing.com Bitcoin JPY Index","BTC/JPY","Investing.com","6,113,012","-","-","--","--","6,447,982","6,447,982","6,379,166","6,081,756","-334969","-5.19%","9,948","--","08:29:01","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Buy","Strong Buy","Strong Buy","-4.96%","-4.77%","7.69%","106.24%","847.62%","564.35%"
"Investing.com Bitcoin IDR Index","BTC/IDR","Investing.com","826,900,621","-","-","--","--","858,060,608","858,060,608","853,595,453","825,362,671","-31159987","-3.63%","161","--","08:28:55","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy","-3.57%","-3.70%","3.43%","103.61%","757.57%","569.41%"
"Bitcoin","BTC/USD","Investing.com","56,022.2","-","-","--","--","59,248.6","59,248.6","58,583.8","55,583.3","-3226.4","-5.45%","83,029","--","08:28:50","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy","-5.50%","-5.28%","3.47%","93.41%","861.72%","541.65%"
